muni_code_6digit,muni_name,comarca_code,comarca_name,muni_code_5digit,has_edar
251214,Les,39,Aran,25121,0
251229,Linyola,27,Pla d'Urgell,25122,0
081043,"Llacuna, la",06,Anoia,08104,0
170887,Lladó,02,Alt Empordà,17088,0
251235,Lladorre,26,Pallars Sobirà,25123,0
251240,Lladurs,35,Solsonès,25124,0
081056,"Llagosta, la",41,Vallès Oriental,08105,1
170890,Llagostera,20,Gironès,17089,0
170904,Llambilles,20,Gironès,17090,0
170911,Llanars,31,Ripollès,17091,0
170926,Llançà,02,Alt Empordà,17092,0
251253,Llardecans,33,Segrià,25125,0
251266,Llavorsí,26,Pallars Sobirà,25126,0
251207,Lleida,33,Segrià,25120,1
170932,Llers,02,Alt Empordà,17093,0
251272,Lles de Cerdanya,15,Cerdanya,25127,0
081075,Lliçà d'Amunt,41,Vallès Oriental,08107,1
081081,Lliçà de Vall,41,Vallès Oriental,08108,1
251288,Llimiana,25,Pallars Jussà,25128,0
081069,Llinars del Vallès,41,Vallès Oriental,08106,0
170947,Llívia,15,Cerdanya,17094,1
430727,"Lloar, el",29,Priorat,43072,0
251291,Llobera,35,Solsonès,25129,0
430733,Llorac,16,Conca de Barberà,43073,0
430748,Llorenç del Penedès,12,Baix Penedès,43074,0
170950,Lloret de Mar,34,Selva,17095,1
170963,"Llosses, les",31,Ripollès,17096,0
081094,Lluçà,43,Lluçanès,08109,0
171024,Maçanet de Cabrenys,02,Alt Empordà,17102,0
171030,Maçanet de la Selva,34,Selva,17103,0
170979,Madremanya,20,Gironès,17097,0
