muni_code_6digit,muni_name,comarca_code,comarca_name,muni_code_5digit,has_edar
252521,Vila-sana,27,Pla d'Urgell,25252,0
431711,Vila-seca,36,Tarragonès,43171,1
431652,Vilabella,01,Alt Camp,43165,0
172142,Vilabertran,02,Alt Empordà,17214,0
172155,Vilablareix,20,Gironès,17215,1
082994,Vilada,14,Berguedà,08299,0
172174,Viladamat,02,Alt Empordà,17217,0
172168,Viladasens,20,Gironès,17216,0
083015,Viladecans,11,Baix Llobregat,08301,1
083008,Viladecavalls,40,Vallès Occidental,08300,0
172180,Vilademuls,28,Pla de l'Estany,17218,0
172207,Viladrau,24,Osona,17220,0
172214,Vilafant,02,Alt Empordà,17221,1
083054,Vilafranca del Penedès,03,Alt Penedès,08305,1
252445,Vilagrassa,38,Urgell,25244,0
172235,Vilajuïga,02,Alt Empordà,17223,0
431750,Vilalba dels Arcs,37,Terra Alta,43175,0
083067,Vilalba Sasserra,41,Vallès Oriental,08306,0
252458,Vilaller,05,Alta Ribagorça,25245,0
172240,Vilallonga de Ter,31,Ripollès,17224,0
431665,Vilallonga del Camp,36,Tarragonès,43166,0
172253,Vilamacolum,02,Alt Empordà,17225,0
172266,Vilamalla,02,Alt Empordà,17226,0
172272,Vilamaniscle,02,Alt Empordà,17227,0
252477,Vilamòs,39,Aran,25247,0
172288,Vilanant,02,Alt Empordà,17228,0
431671,Vilanova d'Escornalbou,08,Baix Camp,43167,0
252483,Vilanova de Bellpuig,27,Pla d'Urgell,25248,1
252496,Vilanova de l'Aguda,23,Noguera,25249,0
252542,Vilanova de la Barca,33,Segrià,25254,0
252509,Vilanova de Meià,23,Noguera,25250,0
431687,Vilanova de Prades,16,Conca de Barberà,43168,0
083036,Vilanova de Sau,24,Osona,08303,0
252516,Vilanova de Segrià,33,Segrià,25251,0
083020,Vilanova del Camí,06,Anoia,08302,1
089024,Vilanova del Vallès,41,Vallès Oriental,08902,1
083073,Vilanova i la Geltrú,17,Garraf,08307,1
431690,Vilaplana,08,Baix Camp,43169,0
082140,Vilassar de Dalt,21,Maresme,08214,1
082191,Vilassar de Mar,21,Maresme,08219,1
172229,Vilaür,02,Alt Empordà,17222,0
431726,Vilaverd,16,Conca de Barberà,43172,0
431732,"Vilella Alta, la",29,Priorat,43173,0
431747,"Vilella Baixa, la",29,Priorat,43174,0
172333,Vilobí d'Onyar,34,Selva,17233,0
083041,Vilobí del Penedès,03,Alt Penedès,08304,1
172327,Vilopriu,10,Baix Empordà,17232,0
252537,"Vilosell, el",18,Garrigues,25253,0
431763,Vimbodí i Poblet,16,Conca de Barberà,43176,0
252555,Vinaixa,18,Garrigues,25255,0
431779,Vinebre,30,Ribera d'Ebre,43177,0
431785,Vinyols i els Arcs,08,Baix Camp,43178,0
083089,Viver i Serrateix,14,Berguedà,08308,0
430521,Xerta,09,Baix Ebre,43052,0
