id,idx
08001,1
08002,2
08003,3
08004,4
08005,5
08006,6
08007,7
08008,8
08009,9
08010,10
08011,11
08012,12
08013,13
08014,14
08015,15
08016,16
08017,17
08018,18
08019,19
08020,20
08021,21
08022,22
08023,23
08024,24
08025,25
08026,26
08027,27
08028,28
08029,29
08030,30
08031,31
08032,32
08033,33
08034,34
08035,35
08036,36
08037,37
08038,38
08039,39
08040,40
08041,41
08042,42
08043,43
08044,44
08045,45
08046,46
08047,47
08048,48
08049,49
08050,50
08051,51
08052,52
08053,53
08054,54
08055,55
08056,56
08057,57
08058,58
08059,59
08060,60
08061,61
08062,62
08063,63
08064,64
08065,65
08066,66
08067,67
08068,68
08069,69
08070,70
08071,71
08072,72
08073,73
08074,74
08075,75
08076,76
08077,77
08078,78
08079,79
08080,80
08081,81
08082,82
08083,83
08084,84
08085,85
08086,86
08087,87
08088,88
08089,89
08090,90
08091,91
08092,92
08093,93
08094,94
08095,95
08096,96
08097,97
08098,98
08099,99
08100,100
08101,101
08102,102
08103,103
08104,104
08105,105
08106,106
08107,107
08108,108
08109,109
08110,110
08111,111
08112,112
08113,113
08114,114
08115,115
08116,116
08117,117
08118,118
08119,119
08120,120
08121,121
08122,122
08123,123
08124,124
08125,125
08126,126
08127,127
08128,128
08129,129
08130,130
08131,131
08132,132
08133,133
08134,134
08135,135
08136,136
08137,137
08138,138
08139,139
08140,140
08141,141
08142,142
08143,143
08144,144
08145,145
08146,146
08147,147
08148,148
08149,149
08150,150
08151,151
08152,152
08153,153
08154,154
08155,155
08156,156
08157,157
08158,158
08159,159
08160,160
08161,161
08162,162
08163,163
08164,164
08165,165
08166,166
08167,167
08168,168
08169,169
08170,170
08171,171
08172,172
08174,173
08175,174
08176,175
08177,176
08178,177
08179,178
08180,179
08181,180
08182,181
08183,182
08184,183
08185,184
08187,185
08188,186
08189,187
08190,188
08191,189
08192,190
08193,191
08194,192
08195,193
08196,194
08197,195
08198,196
08199,197
08200,198
08201,199
08202,200
08203,201
08204,202
08205,203
08206,204
08207,205
08208,206
08209,207
08210,208
08211,209
08212,210
08213,211
08214,212
08215,213
08216,214
08217,215
08218,216
08219,217
