id,area,Y,M,O,total
25011,221.969732939033,2671,6536,3489,12696
25038,139.04680315160098,925,2593,1107,4625
25099,61.7825053406657,1076,2877,980,4933
25158,53.940220056818205,1082,2895,1307,5284
25173,715.208655735635,848,2559,1300,4707
25204,456.58662443562105,1383,3669,1562,6614
25209,703.995150382501,1289,3149,1037,5475
25243,377.83653376362,1704,4332,2135,8171
43028,52.1986868903547,1541,3492,1050,6083
43042,11.1305031282109,845,2375,1112,4332
43055,170.040238470332,1075,2645,735,4455
43064,198.88091629919495,1150,2858,1141,5149
43094,258.95481653774,1266,3054,854,5174
43140,29.9559438387774,2347,5025,1464,8836
08015,21.146097571963796,46737,112240,56292,215269
08019,102.47795810914502,134719,819906,603714,1558339
08056,12.688568310432641,13008,38420,14757,66185
08073,6.83297835142139,11273,52879,21182,85334
08096,14.814604555132703,13295,29900,16264,59459
08101,12.449770475141275,19110,116882,114532,250524
08113,22.07488482120756,9854,27998,25371,63223
08121,22.302285099428914,21882,69344,34713,125939
08124,10.888274689943259,9958,29666,10336,49960
08169,31.535114175061594,5462,26263,30356,62081
08184,32.24666598066825,13947,35875,24937,74759
08187,37.5427613454993,34547,104608,68900,208055
08200,21.508729370074512,9225,35447,36961,81633
08205,39.853774536072486,9672,39997,32410,82079
08245,7.095610211424748,17869,62829,35695,116393
08279,57.651785464321534,8749,76599,97204,182552
08301,20.14672003440151,6109,30608,29234,65951
08307,33.92308309238143,8898,40527,17403,66828
17079,18.567136727956697,17367,49889,18724,85980
25120,81.35115467963942,24105,60187,41745,126037
43123,30.552833697210183,22982,50228,24078,97288
43148,54.870786665415544,31508,69543,21514,122565
