id,idx
08001,1
08009,2
08010,3
08015,4
08019,5
08022,6
08029,7
08030,8
08037,9
08041,10
08054,11
08056,12
08068,13
08069,14
08072,15
08073,16
08075,17
08076,18
08077,19
08085,20
08086,21
08089,22
08094,23
08096,24
08100,25
08101,26
08102,27
08105,28
08107,29
08108,30
08112,31
08113,32
08114,33
08115,34
08120,35
08121,36
08123,37
08124,38
08125,39
08126,40
08135,41
08136,42
08143,43
08145,44
08147,45
08156,46
08157,47
08158,48
08159,49
08167,50
08169,51
08180,52
08184,53
08187,54
08191,55
08194,56
08196,57
08200,58
08204,59
08205,60
08208,61
08209,62
08211,63
08214,64
08215,65
08217,66
08218,67
08219,68
08220,69
08221,70
08227,71
08231,72
08238,73
08244,74
08245,75
08250,76
08251,77
08252,78
08260,79
08263,80
08266,81
08267,82
08270,83
08279,84
08282,85
08288,86
08289,87
08295,88
08298,89
08301,90
08302,91
08305,92
08307,93
08902,94
08904,95
17013,96
17015,97
17020,98
17023,99
17034,100
17036,101
17048,102
17056,103
17066,104
17079,105
17094,106
17095,107
17114,108
17117,109
17118,110
17137,111
17141,112
17147,113
17152,114
17155,115
17160,116
17163,117
17181,118
17185,119
17186,120
17207,121
17221,122
25011,123
25023,124
25038,125
25040,126
25058,127
25072,128
25099,129
25120,130
25137,131
25158,132
25173,133
25203,134
25204,135
25207,136
25209,137
25217,138
25234,139
25243,140
43014,141
43028,142
43042,143
43047,144
43055,145
43064,146
43086,147
43093,148
43094,149
43100,150
43123,151
43133,152
43140,153
43148,154
43155,155
43161,156
43163,157
43171,158
43905,159
